State,City
California,Anaheim
California,San Francisco
Missouri,St. Louis
Arizona,Phoenix
New York,Queens
Pennsylvania,Philadelphia
Michigan,Detroit
Colorado,Denver
California,Los Angeles
Massachusetts,Boston
Texas,Arlington
Ohio,Cincinnati
Illinois,Chicago
Missouri,Kansas City
Florida,Miami
Wisconsin,Milwaukee
Texas,Houston
,Washington DC
Maryland,Baltimore
California,San Diego
Pennsylvania,Pittsburg
Ohio,Cleveland
Washington,Seattle
Georgia,Cumberland
Minnesota,Minneapolis
Florida,St. Petersburg
Illinois,Chicago
New York,Bronx
