State,City,Avg In Rain / Year
Wyoming,Alta,25.3
Wyoming,Cody,10.6
Wyoming,Jackson,16.8
Wyoming,Moose,21.8
Wyoming,Moran,24.7
Wyoming,Yellowstone Lake,20.9
Wyoming,"Yellowstone Park, Mammoth",14.4
Wyoming,"Yellowstone Park, Old Faithful",25.4
Wyoming,Evanston,12.2
Wyoming,Fontenelle Reservoir Dam,7.5
Wyoming,Fossil Butte Monument,11
Wyoming,Kemmerer,10.4
Wyoming,Rock Springs,8.6
Wyoming,Boysen Reservoir Dam,8.9
Wyoming,Burgess Junction,20.1
Wyoming,Lander,12.7
Wyoming,Riverton,8.4
Wyoming,South Pass City,12.6
Wyoming,Ten Sleep,13.6
Wyoming,Thermopolis,11.7
Wyoming,Worland,7.6
Wyoming,Buffalo,13.2
Wyoming,Devils Tower,18
Wyoming,Gillette,16.9
Wyoming,Sheridan,14.2
Wyoming,Sundance,19.2
Wyoming,Casper,12.5
Wyoming,Centennial,14
Wyoming,Cheyenne,15.9
Wyoming,Douglas,15.6
Wyoming,Laramie,10.9
Wyoming,Muddy Gap,10.2
Wyoming,Rawlins,9.3
Wyoming,Torrington,14.4
Wisconsin,Appleton,31.1
Wisconsin,"Crivitz, High Falls Flowage",30.2
Wisconsin,Fond du Lac,29.9
Wisconsin,Green Bay,29.5
Wisconsin,Kenosha,36.1
Wisconsin,Lake Geneva,36.1
Wisconsin,Manitowoc,31.2
Wisconsin,Marinette,32.6
Wisconsin,Milwaukee,34.8
Wisconsin,Oshkosh,31.6
Wisconsin,Racine,36
Wisconsin,Sheboygan,32.7
Wisconsin,Sturgeon Bay,31.9
Wisconsin,Washington Island,28.3
Wisconsin,Beaver Dam,34.8
Wisconsin,Beloit,36.3
Wisconsin,La Crosse,33.1
Wisconsin,Madison,34.5
Wisconsin,Prairie du Chien,34.6
Wisconsin,Viroqua,34.5
Wisconsin,Wisconsin Dells,34.6
Wisconsin,Wisconsin Rapids,31.9
Wisconsin,Drummond,34.2
Wisconsin,Eau Claire,31
Wisconsin,Park Falls,32
Wisconsin,"Rest Lake, Manitowish Waters",30.3
Wisconsin,Rhinelander,31.4
Wisconsin,Rice Lake,31
Wisconsin,River Falls,31.8
Wisconsin,St Croix Falls,29.9
Wisconsin,Wausau,32.4
Wisconsin,Willow Reservoir,30.4
Wisconsin,Ashland,29.9
Wisconsin,Bayfield,32.2
Wisconsin,Madeline Island,33
Wisconsin,Superior,30.7
West Virginia,Bartow,43.7
West Virginia,Canaan Valley Park,55.8
West Virginia,Elkins,45.9
West Virginia,Franklin,36
West Virginia,Marlinton,44
West Virginia,Martinsburg,38.7
West Virginia,Seneca State Forest,46.5
West Virginia,Wardensville,35.7
West Virginia,Beckley,41.2
West Virginia,Bluefield,39.6
West Virginia,Charleston,44
West Virginia,Huntington,43.1
West Virginia,Summersville Lake,47.9
West Virginia,White Sulphur Springs,39.3
West Virginia,Clarksburg,45.6
West Virginia,Fairmont,46
West Virginia,Morgantown,41.8
West Virginia,Moundsville,42.6
West Virginia,Parkersburg,41.2
West Virginia,Sutton Lake,49.2
West Virginia,Wheeling,40.4
Washington,Aberdeen,84.5
Washington,Clearwater,108.9
Washington,Forks,119.7
Washington,"Friday Harbor, San Juan Island",24.9
Washington,Grayland,75
Washington,Long Beach,78.7
Washington,Port Angeles,25.3
Washington,Anacortes,27.8
Washington,Bellingham,35.8
Washington,Bremerton,56.4
Washington,Everett,38.4
Washington,Longview,48
Washington,"Olga, Orcas Island",28.2
Washington,Olympia,50
Washington,Port Townsend,19
Washington,Seattle,37.7
Washington,Tacoma,39.2
Washington,Vancouver,41.6
Washington,Baker Lake Dam,97.9
Washington,Baring,106.7
Washington,Darrington,81.3
Washington,Mt Adams Ranger Station,45.9
Washington,Mt Rainier Paradise Ranger Station,118.3
Washington,Mud Mountain Lake Dam,57.8
Washington,Ross Dam,57.6
Washington,Stampede Pass,81.2
Washington,Boundary Dam,28.1
Washington,Chelan,11.4
Washington,Coulee Dam,10.8
Washington,Kennewick,7.7
Washington,Leavenworth,25
Washington,Pullman,20.4
Washington,Spokane,16.6
Washington,Walla Walla,20.9
Washington,Wenatchee,9.6
Washington,Winthrop,14.8
Washington,Yakima,8.3
Virginia,Abingdon,45.6
Virginia,Blacksburg,40.9
Virginia,Burkes Garden,45.9
Virginia,Galax,43.6
Virginia,Hot Springs,43.5
Virginia,Mount Weather,43.5
Virginia,Pennington Gap,47.6
Virginia,Roanoke,41.3
Virginia,Staunton,39.1
Virginia,Winchester,38.3
Virginia,Wise,48
Virginia,Arlington,39.7
Virginia,Charlottesville,47.7
Virginia,Danville,44.9
Virginia,Fredericksburg,43.4
Virginia,John H Kerr Dam,42.8
Virginia,Lynchburg,41.6
