State,City,Avg Winter Low,Avg Summer High
Wyoming,Alta,11,74
Wyoming,Cody,16,80
Wyoming,Jackson,7,79
Wyoming,Moose,2,77
Wyoming,Moran,2,75
Wyoming,Yellowstone Lake,2,68
Wyoming,"Yellowstone Park, Mammoth",12,75
Wyoming,"Yellowstone Park, Old Faithful",0,71
Wyoming,Evanston,11,78
Wyoming,Fontenelle Reservoir Dam,2,79
Wyoming,Fossil Butte Monument,5,79
Wyoming,Kemmerer,2,76
Wyoming,Rock Springs,13,80
Wyoming,Boysen Reservoir Dam,8,86
Wyoming,Burgess Junction,7,66
Wyoming,Lander,11,83
Wyoming,Riverton,7,84
Wyoming,South Pass City,5,74
Wyoming,Ten Sleep,2,83
Wyoming,Thermopolis,13,89
Wyoming,Worland,6,85
Wyoming,Buffalo,14,80
Wyoming,Devils Tower,7,82
Wyoming,Gillette,14,83
Wyoming,Sheridan,12,83
Wyoming,Sundance,14,81
Wyoming,Casper,14,84
Wyoming,Centennial,11,73
Wyoming,Cheyenne,18,79
Wyoming,Douglas,11,83
Wyoming,Laramie,10,77
Wyoming,Muddy Gap,15,83
Wyoming,Rawlins,12,80
Wyoming,Torrington,12,86
Wisconsin,Appleton,12,79
Wisconsin,"Crivitz, High Falls Flowage",5,79
Wisconsin,Fond du Lac,12,78
Wisconsin,Green Bay,11,77
Wisconsin,Kenosha,19,76
Wisconsin,Lake Geneva,17,83
Wisconsin,Manitowoc,16,75
Wisconsin,Marinette,12,77
Wisconsin,Milwaukee,18,78
Wisconsin,Oshkosh,13,79
Wisconsin,Racine,18,75
Wisconsin,Sheboygan,16,79
Wisconsin,Sturgeon Bay,13,76
Wisconsin,Washington Island,14,73
Wisconsin,Beaver Dam,12,80
Wisconsin,Beloit,15,81
Wisconsin,La Crosse,12,82
Wisconsin,Madison,14,79
Wisconsin,Prairie du Chien,12,82
Wisconsin,Viroqua,9,77
Wisconsin,Wisconsin Dells,9,80
Wisconsin,Wisconsin Rapids,8,81
Wisconsin,Drummond,4,77
Wisconsin,Eau Claire,8,80
Wisconsin,Park Falls,4,75
Wisconsin,"Rest Lake, Manitowish Waters",3,75
Wisconsin,Rhinelander,4,77
Wisconsin,Rice Lake,5,78
Wisconsin,River Falls,7,80
Wisconsin,St Croix Falls,6,81
Wisconsin,Wausau,9,78
Wisconsin,Willow Reservoir,4,75
Wisconsin,Ashland,7,76
Wisconsin,Bayfield,9,74
Wisconsin,Madeline Island,9,75
Wisconsin,Superior,8,72
