RegionID,RegionName,State,Metro,CountyName,SizeRank,2018-03
6181,New York,New York,New York,Queens,1,655109
12447,Los Angeles,California,Los Angeles-Long Beach-Anaheim,Los Angeles,2,674140
17426,Chicago,Illinois,Chicago,Cook,3,226073
39051,Houston,Texas,Houston,Harris,4,176266
13271,Philadelphia,Pennsylvania,Philadelphia,Philadelphia,5,145291
40326,Phoenix,Arizona,Phoenix,Maricopa,6,227849
18959,Las Vegas,Nevada,Las Vegas,Clark,7,254732
6915,San Antonio,Texas,San Antonio,Bexar,8,166377
54296,San Diego,California,San Diego,San Diego,9,625759
33839,San Jose,California,San Jose,Santa Clara,10,1076677
25290,Jacksonville,Florida,Jacksonville,Duval,11,163642
20330,San Francisco,California,San Francisco,San Francisco,12,1341791
32149,Indianapolis,Indiana,Indianapolis,Marion,13,125736
10221,Austin,Texas,Austin,Travis,14,344325
18172,Fort Worth,Texas,Dallas-Fort Worth,Tarrant,15,183838
17762,Detroit,Michigan,Detroit,Wayne,16,26003
10920,Columbus,Ohio,Columbus,Franklin,17,145659
32811,Memphis,Tennessee,Memphis,Shelby,18,83289
24043,Charlotte,North Carolina,Charlotte,Mecklenburg,19,211670
17933,El Paso,Texas,El Paso,El Paso,20,122301
44269,Boston,Massachusetts,Boston,Suffolk,21,583322
16037,Seattle,Washington,Seattle,King,22,772729
3523,Baltimore,Maryland,Baltimore,Baltimore City,23,108844
11093,Denver,Colorado,Denver,Denver,24,412136
41568,Washington,DC,Washington,District of Columbia,25,560704
6118,Nashville,Tennessee,Nashville,Davidson,26,254619
5976,Milwaukee,Wisconsin,Milwaukee,Milwaukee,27,113697
7481,Tucson,Arizona,Tucson,Pima,28,179291
13373,Portland,Oregon,Portland,Multnomah,29,438549
33225,Oklahoma City,Oklahoma,Oklahoma City,Oklahoma,30,126566
40152,Omaha,Nebraska,Omaha,Douglas,31,165867
23429,Albuquerque,New Mexico,Albuquerque,Bernalillo,32,189056
18203,Fresno,California,Fresno,Fresno,33,228435
20288,Sacramento,California,Sacramento,Sacramento,34,317947
19331,Mesa,Arizona,Phoenix,Maricopa,35,236026
46298,Long Beach,California,Los Angeles-Long Beach-Anaheim,Los Angeles,36,584574
18795,Kansas City,Missouri,Kansas City,Jackson,37,137694
41515,Virginia Beach,Virginia,Virginia Beach,Virginia Beach City,38,258206
4172,Colorado Springs,Colorado,Colorado Springs,El Paso,39,273225
37211,Atlanta,Georgia,Atlanta,Fulton,40,236638
12700,Miami,Florida,Miami-Fort Lauderdale,Miami-Dade,41,326369
13072,Oakland,California,San Francisco,Alameda,42,760157
20859,Tulsa,Oklahoma,Tulsa,Tulsa,43,116938
24115,Cleveland,Ohio,Cleveland,Cuyahoga,44,52465
18615,Honolulu,Hawaii,Urban Honolulu,Honolulu,45,662636
5983,Minneapolis,Minnesota,Minneapolis-St Paul,Hennepin,46,257469
44055,Baton Rouge,Louisiana,Baton Rouge,East Baton Rouge,47,161447
19594,New Orleans,Louisiana,New Orleans,Orleans,48,183153
50763,Arlington,Texas,Dallas-Fort Worth,Tarrant,49,192661
54047,Raleigh,North Carolina,Raleigh,Wake,50,257074
7929,Wichita,Kansas,Wichita,Sedgwick,51,120506
41176,Tampa,Florida,Tampa,Hillsborough,52,208132
16764,Anaheim,California,Los Angeles-Long Beach-Anaheim,Orange,53,589677
47568,Santa Ana,California,Los Angeles-Long Beach-Anaheim,Orange,54,533723
16846,Aurora,Colorado,Denver,Arapahoe,55,317686
6891,Saint Louis,Missouri,St. Louis,Saint Louis City,56,120245
4099,Cincinnati,Ohio,Cincinnati,Hamilton,57,129872
26529,Pittsburgh,Pennsylvania,Pittsburgh,Allegheny,58,135465
47401,Riverside,California,Riverside,Riverside,59,394208
12562,Marietta,Georgia,Atlanta,Cobb,60,269133
23482,Anchorage,Alaska,Anchorage,Anchorage,61,339163
3506,Bakersfield,California,Bakersfield,Kern,62,234034
20313,Saint Paul,Minnesota,Minneapolis-St Paul,Ramsey,63,212017
34303,Toledo,Ohio,Toledo,Lucas,64,66979
7081,Silver Spring,Maryland,Washington,Montgomery,65,398773
25574,Lexington,Kentucky,Lexington,Fayette,66,174607
47945,Tallahassee,Florida,Tallahassee,Leon,67,171075
7266,Stockton,California,Stockton,San Joaquin,68,286561
53915,Plano,Texas,Dallas-Fort Worth,Collin,69,325609
17222,Buffalo,New York,Buffalo,Erie,70,75969
17384,Chandler,Arizona,Phoenix,Maricopa,71,297546
12455,Louisville,Kentucky,Louisville/Jefferson County,Jefferson,72,154530
11867,Henderson,Nevada,Las Vegas,Clark,73,310182
25934,Modesto,California,Modesto,Stanislaus,74,286922
32900,Mobile,Alabama,Mobile,Mobile,75,111092
53060,Lubbock,Texas,Lubbock,Lubbock,76,132660
18298,Glendale,Arizona,Phoenix,Maricopa,77,219436
24457,Durham,North Carolina,Durham,Durham,78,210666
13121,Orlando,Florida,Orlando,Orange,79,226666
6210,Norfolk,Virginia,Virginia Beach,Norfolk City,80,183318
18170,Fort Wayne,Indiana,Fort Wayne,Allen,81,123811
11722,Greensboro,North Carolina,,Guilford,82,133482
32503,Lincoln,Nebraska,Lincoln,Lancaster,83,172752
20328,San Bernardino,California,Riverside,San Bernardino,84,272707
24225,Corona,California,Riverside,Riverside,85,476740
51405,Chula Vista,California,San Diego,San Diego,86,531522
44564,Chesapeake,Virginia,Virginia Beach,Chesapeake City,87,256329
25104,Hialeah,Florida,Miami-Fort Lauderdale,Miami-Dade,88,260769
398849,Madison,Wisconsin,Madison,Dane,89,246306
18251,Garland,Texas,Dallas-Fort Worth,Dallas,90,184750
24741,Fontana,California,Riverside,San Bernardino,91,378377
31614,Fort Myers,Florida,Fort Myers,Lee,92,207731
25428,Knoxville,Tennessee,Knoxville,Knox,93,159816
52893,Laredo,Texas,Laredo,Webb,94,134764
26187,North Las Vegas,Nevada,Las Vegas,Clark,95,236926
5573,Lawrenceville,Georgia,Atlanta,Gwinnett,96,200539
11540,Fremont,California,San Francisco,Alameda,97,1063923
52001,Fayetteville,North Carolina,Fayetteville,Cumberland,98,103713
