,Average Summer High(F),Average Winter Low(F),Average Annual Temp (F),Average Annual Precipitation (in.),Average Annual Clear Days (Days),Average Humidity Morn­ing (%),Average Humidity After­noon (%),Average Yearly Snowfall (Days),Average Yearly Snowfall (in.)
Alabama,89.6,36.6,62.8,58.3,99,84,52,0.8,1.6
Alaska,60.9,9.1,26.6,22.5,61,77,64,48,74.5
Arizona,94.8,33.0,60.3,13.6,193,53,25,0.3,0.3
Arkansas,89.9,31.0,60.4,50.6,123,85,49,3.8,5.2
California,79.8,42.6,59.4,22.2,146,76,62,0,0
Colorado,81.3,12.2,45.1,15.9,136,60,35,19.1,19.1
Connecticut,80.0,21.0,49,50.3,82,79,52,20.1,40.5
Delaware,84.5,27.5,55.3,45.7,97,79,54,11.8,20.2
Florida,90.2,49.8,70.7,54.5,101,87,57,0,0
Georgia,89.0,35.8,63.5,50.7,112,86,50,0.7,0.7
Hawaii,81.8,61.8,70,63.7,90,71,56,0,0
Idaho,81.6,17.2,44.4,18.9,120,68,41,19.4,19.2
Illinois,82.8,19.5,51.8,39.2,95,83,58,19.9,24.6
Indiana,83.1,21.4,51.7,41.7,88,83,58,23.5,25.9
Iowa,82.8,13.5,47.8,34,105,78,56,26.2,34.9
Kansas,88.2,20.3,54.3,28.9,128,80,50,10,14.7
Kentucky,86.1,26.6,55.6,48.9,93,79,55,11.8,12.5
Louisiana,90.8,41.0,66.4,60.1,101,87,61,0.1,0
Maine,74.9,10.4,41,42.2,101,82,61,27.8,61.8
Maryland,84.2,27.2,54.2,44.5,105,77,52,9.6,20.2
Massachusetts,77.8,19.2,47.9,47.4,98,75,59,22.4,43.8
Michigan,76.6,15.0,44.4,32.8,71,84,61,44.7,51.1
Minnesota,77.6,4.1,41.2,27.3,95,78,55,37.3,54
Mississippi,89.9,36.3,63.4,59,111,91,54,0.6,0.9
Missouri,86.6,23.2,54.5,42.2,115,82,53,11.5,17
Montana,78.9,12.7,42.7,15.3,82,71,45,32.9,38.1
Nebraska,85.2,14.8,48.8,23.6,117,82,53,18.3,25.9
Nevada,90.7,24.8,49.9,9.5,158,71,32,16.3,21.8
New Hampshire,76.4,10.3,43.8,43.4,90,84,53,29.8,60.8
New Jersey,82.2,24.6,52.7,47.1,94,83,59,8.7,16.5
New Mexico,87.0,20.7,53.4,14.6,167,60,29,9.5,9.6
New York,78.5,17.9,45.4,41.8,63,82,61,66.4,123.8
North Carolina,84.8,30.9,59,50.3,109,83,52,3.9,7.6
North Dakota,79.7,3.1,40.4,17.8,93,80,51,45.2,51.2
Ohio,81.9,22.6,50.7,39.1,72,80,57,30.4,27.5
Oklahoma,91.3,27.5,59.6,36.5,139,79,48,5.6,7.8
Oregon,76.7,29.0,48.4,27.4,68,85,59,2.2,3
Pennsylvania,81.2,21.0,48.8,42.9,87,77,54,19.4,28.2
Rhode Island,78.3,23.6,50.1,47.9,98,78,57,18.7,33.8
South Carolina,88.3,35.4,62.4,49.8,115,86,49,0.3,0.5
South Dakota,81.9,11.8,45.2,20.1,104,83,53,30.1,43.9
Tennessee,86.5,28.5,57.6,54.2,102,84,53,6.2,6.3
Texas,93.0,39.8,64.8,28.9,135,82,49,1.3,1.5
Utah,87.2,18.8,48.6,12.2,125,67,43,34.8,56.2
Vermont,76.1,10.1,42.9,42.7,58,77,58,54.4,81.2
Virginia,84.3,28.0,55.1,44.3,100,84,52,6.1,10.3
Washington,74.7,30.1,48.3,39.4,58,83,62,3,5
West Virginia,81.1,22.6,51.8,45.2,60,83,59,37.7,62
Wisconsin,77.8,10.4,43.1,32.6,89,84,58,38.7,50.9
Wyoming,79.3,9.1,42,12.9,114,63,43,36.7,91.4
