State,City
Florida,Miami
Texas,Dallas
Florida,Orlando
Texas,San Antonio
Indiana,Indianapolis
New York,Brooklyn
Wisconsin,Milwaukee
,Washington DC
Oklahoma,Oklahoma City
Tennessee,Memphis
Calfiornia,Sacramento
Michigan,Detroit
New York,New York
Oregon,Portland
Calfiornia,Oakland
Colorado,Denver
Georgia,Atlanta
Ohio,Cleveland
Louisiana,New Oreleans
North Carolina,Charlotte
Calfiornia,Los Angeles
Arizona,Phoenix
Minnesota,Minneapolis
Massachusetts,Boston
Texas,Houston
Illinois,Chicago
Utah,Salt Lake City
Pennsylvania,Philadelphia
