State,City,Average Summer Temp(F),Average Winter Temp (F),Average Annual Temp (F),Average Annual Precipitation (in.),Average Annual Clear Days (Days),Average Humidity Morn­ing (%),Average Humidity After­noon (%),Average Yearly Snowfall (Days),Average Yearly Snowfall (in.)
Alabama,Addison,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Alabaster,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Alexander City,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Aliceville,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Andalusia,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Anderson,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Ashland,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Athens,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Atmore,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Auburn,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Bay Minette,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Beatrice,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Bessemer,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Birmingham,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Boligee,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Brent,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Brewton,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Bridgeport,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Burgos,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Camden,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Camp Hill,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Centre,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Centreville,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Chatom,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Childersburg,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Clanton,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Clayton,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Coden,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Courtland,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Crossville,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Cullman,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Decatur,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Demopolis,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Enterprise,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Eufaula,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Evergreen,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Fairhope,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Falkville,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Fayette,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Florala,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Fort Payne,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Frisco City,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Gadsden,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Gainesville,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Geneva,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Greensboro,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Greenville,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Guntersville,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Haleyville,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Hamilton,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Hanceville,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Headland,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Heflin,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Helena,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Highland Home,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Hope Hull,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Huntsville,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Jackson,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Jasper,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Kellyton,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Lafayette,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Lineville,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Livingston,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Marion,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Marion Junction,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Midland City,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Mobile,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Montgomery,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Moulton,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Muscle Shoals,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,New Hope,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Northport,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Oneonta,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Opelika,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Ozark,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Pelham,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Pinson,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Roanoke,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Robertsdale,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Rockford,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Russellville,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Scottsboro,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Selma,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Shorter,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Sylacauga,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alabama,Talladega,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
