State,City
Ohio,Akron
New York,Albany
New Mexico,Albuquerque
Alaska,Anchorage
Wisconsin,Appleton
Georgia,Atlanta
New Jersey,Atlantic City
Texas,Austin
Maryland,Baltimore
Maine,Bangor
Alabama,Birmingham
Massachusetts,Boston
New York,Buffalo
Sourth Carolina,Charleston
North Carolina,Charlotte
Illinois,Chicago
Ohio,Cincinnati
Ohio,Cleveland
Ohio,Columbus 
Texas,Dallas
Ohio,Dayton 
Colorado,Denver
Iowa,Des Moines 
Michigan,Detroit
Alaska,Fairbanks
Florida,Fort Lauderdale
Florida,Fort Myers
California,Fresno
Conneticut,Hartford
Hawaii,Hilo
Hawaii,Honolulu
Texas,Houston
Alabama,Huntsville 
Indian,Indianapolis
Florida,Jacksonville
Alaska,Juneau
Missouri,Kansas City
Alaska,Ketchikan
Florida,Key West
Hawaii,Kona
Michigan,Lansing
Nevada,Las Vegas
California,Los Angeles
Kentucky,Louisville
Florida,Melbourne 
Tennesee,Memphis
Florida,Miami
Wisconsin,Milwaukee
Minesota,Minneapolis
Minesota,St. Paul
South Carolina,Myrtle Beach
Tennesee,Nashville
Lousiana,New Orleans
New York,New York City
New Jersey,Newark
New York,Newburgh
California,Oakland
Nebraska,Omaha
California,Orange County
Florida,Orlando
Florida,Sanford
Florida,Palm Springs
Florida,Panama City Beach
Pennsylvania,Philadelphia
Arizona,Phoenix
Arizona,Mesa
Pennsylvania,Pittsburgh
Maine,Portland 
Oregon,Portland (OR)
Rhode Island,Providence
North Carolina,Raleigh
North Carolina,Durham
Nevada,Reno
New York,Rochester 
California,Sacramento
Utah,Salt Lake City
Texas,San Antonio
California,San Bernardino
California,San Diego
California,San Francisco
California,San Jose 
Florida,Sarasota
Florida,Bradenton
Washington,Seattle
Washington,Snohomish County 
Washington,Spokane
Missouri,St. Louis
Florida,St. Petersburg
New York,Syracuse
Florida,Tallahassee
Florida,Tampa
,Washington D.C.
Florida,West Palm Beach
