,Average Summer Temp(F),Average Winter Temp (F),Average Annual Temp (F),Average Annual Precipitation (in.),Average Annual Clear Days (Days),Average Humidity Morn­ing (%),Average Humidity After­noon (%),Average Yearly Snowfall (Days),Average Yearly Snowfall (in.)
Alabama,76.8,46.5,62.8,58.3,99,84,52,0.8,1.6
Alaska,52.3,2.6,26.6,22.5,61,77,64,48,74.5
Arizona,78.1,43.6,60.3,13.6,193,53,25,0.3,0.3
Arkansas,78.8,41.5,60.4,50.6,123,85,49,3.8,5.2
California,73.4,46.2,59.4,22.2,146,76,62,0,0
Coloardo,65.2,25.8,45.1,15.9,136,60,35,19.1,19.1
Connecticut,69.2,28.5,49,50.3,82,79,52,20.1,40.5
Delaware,74.2,36.1,55.3,45.7,97,79,54,11.8,20.2
Florida,87,59.4,70.7,54.5,101,87,57,0,0
Georgia,78.7,47.8,63.5,50.7,112,86,50,0.7,0.7
Hawaii,72.2,67.4,70,63.7,90,71,56,0,0
Idaho,63.7,25.4,44.4,18.9,120,68,41,19.4,19.2
Illinois,73.4,28.3,51.8,39.2,95,83,58,19.9,24.6
Indiana,72.4,29.4,51.7,41.7,88,83,58,23.5,25.9
Iowa,71.6,21.7,47.8,34,105,78,56,26.2,34.9
Kansas,76.4,31.9,54.3,28.9,128,80,50,10,14.7
Kentucky,74.5,35.9,55.6,48.9,93,79,55,11.8,12.5
Louisiana,81.1,50.9,66.4,60.1,101,87,61,0.1,0
Maine,63.7,16.8,41,42.2,101,82,61,27.8,61.8
Maryland,73.3,34.7,54.2,44.5,105,77,52,9.6,20.2
Massachusetts,68,27.4,47.9,47.4,98,75,59,22.4,43.8
Michigan,66.2,21.7,44.4,32.8,71,84,61,44.7,51.1
Minnesota,66.8,12.4,41.2,27.3,95,78,55,37.3,54
Mississippi,79.5,46.7,63.4,59,111,91,54,0.6,0.9
Missouri,75.4,32.3,54.5,42.2,115,82,53,11.5,17
Montana,64.2,21.2,42.7,15.3,82,71,45,32.9,38.1
Nebraska,71.8,25.7,48.8,23.6,117,82,53,18.3,25.9
Nevada,69,32.2,49.9,9.5,158,71,32,16.3,21.8
New Hampshire,65.5,21.1,43.8,43.4,90,84,53,29.8,60.8
New Jersey,72.2,33,52.7,47.1,94,83,59,8.7,16.5
New Mexico,71.4,36.1,53.4,14.6,167,60,29,9.5,9.6
New York,66.5,23.3,45.4,41.8,63,82,61,66.4,123.8
North Carolina,75.7,42.1,59,50.3,109,83,52,3.9,7.6
North Dakota,66.6,12.2,40.4,17.8,93,80,51,45.2,51.2
Ohio,70.9,29.5,50.7,39.1,72,80,57,30.4,27.5
Oklahoma,79.6,39.1,59.6,36.5,139,79,48,5.6,7.8
Oregon,63.7,34,48.4,27.4,68,85,59,2.2,3
Pennsylvania,68.6,28.4,48.8,42.9,87,77,54,19.4,28.2
Rhode Island,68.8,31.4,50.1,47.9,98,78,57,18.7,33.8
South Carolina,78.4,46.1,62.4,49.8,115,86,49,0.3,0.5
South Dakota,69.6,19.5,45.2,20.1,104,83,53,30.1,43.9
Tennessee,75.6,39.1,57.6,54.2,102,84,53,6.2,6.3
Texas,81.1,47.9,64.8,28.9,135,82,49,1.3,1.5
Utah,69.6,28.2,48.6,12.2,125,67,43,34.8,56.2
Vermont,65.1,19.4,42.9,42.7,58,77,58,54.4,81.2
Virginia,73.2,36.8,55.1,44.3,100,84,52,6.1,10.3
Washington,63.8,33,48.3,39.4,58,83,62,3,5
West Virginia,70.2,32.8,51.8,45.2,60,83,59,37.7,62
Wisconsin,66.8,17.2,43.1,32.6,89,84,58,38.7,50.9
Wyoming,63.5,21.2,42,12.9,114,63,43,36.7,91.4
