"city";"state";"county";"countyFips";"latitude";"longitude";"population";"propertyValue";"minTemp";"maxTemp";"sunny";"humidity";"rain";"snow";"color"
"Abbeville";"Mississippi";"Lafayette";28071;34.5034;-89.5025;430;132450;36.3;89.9;111;72;59.0;0.9;"red"
"Aberdeen";"Idaho";"Bingham";16011;42.9441;-112.8384;1923;129807;17.2;81.6;120;54;18.9;19.2;"red"
"Aberdeen";"Maryland";"Harford";24025;39.5146;-76.1731;15612;200595;27.0;83.0;105;64;44.8;20.2;"red"
"Aberdeen";"North Carolina";"Moore";37125;35.1345;-79.4314;7502;150014;30.9;84.8;109;67;50.3;7.6;"red"
"Aberdeen";"South Dakota";"Brown";46013;45.4647;-98.4678;28415;199900;5.0;81.0;202;69;21.7;38.4;"red"
"Abilene";"Kansas";"Dickinson";20041;38.9229;-97.2247;6469;96996;20.3;88.2;128;65;28.9;14.7;"red"
"Abilene";"Texas";"Taylor";48441;32.4543;-99.7384;122225;22359;34.0;93.0;244;59;149.0;1.5;"red"
"Abingdon";"Illinois";"Knox";17095;40.8039;-90.4009;3149;50336;19.5;82.8;95;70;39.2;24.6;"red"
"Abingdon";"Virginia";"Washington";51191;36.7089;-81.9711;8083;155022;25.0;83.0;100;68;45.6;12.5;"red"
"Abita Springs";"Louisiana";"St. Tammany";22103;30.4765;-90.0293;2529;189086;41.0;90.8;101;74;60.1;0.0;"red"
"Absecon";"New Jersey";"Atlantic";34001;39.4221;-74.4941;8295;147904;24.6;82.2;94;71;47.1;16.5;"blue"
"Accident";"Maryland";"Garrett";24023;39.6257;-79.32;316;152495;27.2;84.2;105;64;44.5;20.2;"red"
"Acworth";"Georgia";"Cobb";13067;34.0564;-84.6688;22418;203509;35.8;89.0;112;68;50.7;0.7;"blue"
"Ada";"Ohio";"Hardin";39065;40.768;-83.8252;5607;130401;22.6;81.9;72;68;39.1;27.5;"red"
"Ada";"Oklahoma";"Pontotoc";40123;34.7683;-96.6689;17371;89490;29.0;92.0;139;63;41.8;4.5;"red"
"Adair";"Oklahoma";"Mayes";40097;36.4366;-95.2727;818;112956;27.5;91.3;139;63;36.5;7.8;"red"
"Adairsville";"Georgia";"Bartow";13015;34.3702;-84.9214;4816;134899;35.8;89.0;112;68;50.7;0.7;"red"
"Adams";"New York";"Jefferson";36045;43.8102;-76.023;1769;137664;17.9;78.5;63;71;41.8;123.8;"red"
"Adams";"Tennessee";"Robertson";47147;36.5824;-87.0628;657;223530;28.5;86.5;102;68;54.2;6.3;"red"
"Adams";"Wisconsin";"Adams";55001;43.9554;-89.8169;1890;77851;10.4;77.8;89;71;32.6;50.9;"red"
"Adamsville";"Alabama";"Jefferson";1073;33.6064;-86.9745;4360;71567;36.6;89.6;99;68;58.3;1.6;"blue"
"Adamsville";"Tennessee";"McNairy";47109;35.256;-88.3864;2204;80000;28.5;86.5;102;68;54.2;6.3;"red"
